,created_at,text,retweets,likes
13,2025-04-02 22:02:41+00:00,"Tariffs are taxes on imported goods that can drive up prices, reduce trade flows, and impact profit margins. Understanding how they shape global supply chains and consumer costs is key for informed investing. #tariffs #stocks #stocktips #investing #stockmarket",0,0
14,2025-04-02 22:01:38+00:00,RT @Thestocksmarket: Fundamental Strong Stocks at Discounted  Price 💸📈 #niftycrash #stockmarketcrash #stockmarketsindia #StockMarket https:…,59,0
15,2025-04-02 22:01:25+00:00,"Top losers today 📉😩

$NCNO nCino, Inc. ($22.59, -24.48%)
$CORT Corcept Therapeutics ($83.81, -9.69%)
$RIVN Rivian Automotive ($12.49, -6.33%)
$SBK Standard Bank Group ($12.33, -6.16%)
$1810 Xiaomi Corp. ($28.35, -5.19%)

#toplosers #stockmarket #stocks",0,0
16,2025-04-02 22:00:56+00:00,"🚨📣 #insidertrading Cohen Barry F bought $29.8K of $SSII on 2025-03-31

Insider performance (2020-24):
🟢1d: 4%
🟢3d: 6%
🟢5d: 5%
🔴1m: -2%
🔴3m: -2%
🟢6m: 24%
⚪️1y: n/a
total trade: 44

$SPY $QQQ $DIA $VIX
#stock
#stockmarket #NASDAQ #NYSE #OTC",0,0
17,2025-04-02 22:00:48+00:00,"عانت شركة Eaton Corp PLC من تراجع حاد في قيمتها عام 2025 بسبب التحديات الاقتصادية والضغوطات في السوق. هل تتوقعون انتعاشها قريباً؟ شاركونا آراءكم!

#EatonCorp #StockMarket #InvestmentTrends #FinancialNews https://t.co/Sm4YgzJCmW",0,0
18,2025-04-02 22:00:38+00:00,"Comment “X” and I’ll send you the free training…

This strategy took me from losing trades to consistent profits!

Want to know how to spot these setups before they pop?!

——
#trading #stockmarket #optionstrading #USA #CANADA https://t.co/fC4JSE5nwD",0,1
19,2025-04-02 22:00:07+00:00,"For full list go to https://t.co/7qw3fSUUgj

Don't forget to give us a follow for the latest trading signals!

If you found this post insightful, help spread the wisdom by smashing that like button and giving it a retweet! 🚀💙🔄

#fintwit #stocks #StockMarket #Trading",0,0
20,2025-04-02 22:00:03+00:00,"The S&amp;P 500 dropped 1.53% last week. 
That’s scary—until you realize there have been 970 similar weeks since 1928. 
📈 Volatility = normal. #StockMarket #InvestSmart #MarketPerspective 

For more details, see the link in the Thread. https://t.co/S28fNQmgfa",0,0
21,2025-04-02 22:00:02+00:00,"🚀 Top Stocks to watch tomorrow

$NVDA - $110.42 - -0.83% Upside
$NUE - $123.03 - -0.84% Upside
$LIN - $469.74 - -1.01% Upside
$GOOG - $158.86 - -1.11% Upside
$HLT - $231.38 - -1.24% Upside

🔔 Next update at 9 AM! Stay tuned! 

#StockMarket #AIStockPicks #fintwit",0,0
22,2025-04-02 21:59:52+00:00,"I’ve officially added $HOOD, alongside $AAPL stock to the “Scam” stock list.  

“Scandalous market manipulation”—🫵
#StockMarket https://t.co/BptkZxMRT6",0,0
